city,banana,vendor,population,coverage,meeting_count
"New York, NY",newyorkNY,legistar,8258035,has_summaries,231
"Los Angeles, CA",losangelesCA,primegov,3820914,has_summaries,177
"Chicago, IL",chicagoIL,chicago,2664452,has_summaries,29
"Houston, TX",houstonTX,primegov,2314157,has_summaries,37
"Phoenix, AZ",phoenixAZ,legistar,1650070,has_summaries,34
"Philadelphia, PA",philadelphiaPA,legistar,1550542,has_summaries,32
"San Antonio, TX",sanantonioTX,primegov,1495295,has_summaries,244
"San Diego, CA",sandiegoCA,onbase,1388320,has_summaries,14
"Dallas, TX",dallasTX,legistar,1302868,has_summaries,161
"Jacksonville, FL",jacksonvilleFL,legistar,985843,has_summaries,37
"Austin, TX",austinTX,legistar,979882,has_summaries,39
"Fort Worth, TX",fortworthTX,legistar,978468,has_summaries,13
"San Jose, CA",sanjoseCA,legistar,969655,has_summaries,148
"Columbus, OH",columbusOH,legistar,913175,has_summaries,10
"Charlotte, NC",charlotteNC,legistar,911311,has_summaries,20
"Indianapolis, IN",indianapolisIN,granicus,910148,config_only,0
"San Francisco, CA",sanfranciscoCA,legistar,808988,has_summaries,70
"Seattle, WA",seattleWA,legistar,755078,has_summaries,43
"Saint Paul, MN",saintpaulMN,legistar,753116,has_summaries,36
"Louisville, KY",louisvilleKY,primegov,735981,meetings_only,67
"Denver, CO",denverCO,legistar,716577,has_summaries,153
"Oklahoma City, OK",oklahomacityOK,primegov,702767,has_summaries,91
"Washington, DC",washingtonDC,granicus,678972,config_only,0
"El Paso, TX",elpasoTX,legistar,678958,has_summaries,46
"Las Vegas, NV",lasvegasNV,primegov,660929,has_summaries,52
"Boston, MA",bostonMA,legistar,653833,has_summaries,54
"Detroit, MI",detroitMI,escribe,633218,has_items,10
"Memphis, TN",memphisTN,granicus,618639,config_only,0
"Baltimore, MD",baltimoreMD,legistar,565239,has_summaries,39
"Milwaukee, WI",milwaukeeWI,legistar,561385,has_summaries,59
"Albuquerque, NM",albuquerqueNM,legistar,560274,has_summaries,27
"Tucson, AZ",tucsonAZ,onbase,547239,config_only,0
"Fresno, CA",fresnoCA,legistar,545716,has_summaries,50
